basis,seed,group,row,stratum,energy,sse
identity,0,32,3000,0,0.41139525138493127,0.0027128754714453862
identity,0,16,3000,0,0.41139525138493127,0.0019254049562391629
identity,0,32,3061,0,0.33723734740443945,0.0025072399107699539
identity,0,16,3061,0,0.33723734740443945,0.0017523317215051293
identity,0,32,3122,0,0.43012646066017429,0.0029708205238401786
identity,0,16,3122,0,0.43012646066017429,0.0021109533972756833
identity,0,32,3182,0,0.36328618550740899,0.0023217041341787592
identity,0,16,3182,0,0.36328618550740899,0.0016943736261829656
identity,0,32,3243,0,0.54182679737910178,0.0034618614799484249
identity,0,16,3243,0,0.54182679737910178,0.0025595133619873423
identity,0,32,3304,0,0.5737585205441178,0.0038910218370915572
identity,0,16,3304,0,0.5737585205441178,0.0029050846476934566
identity,0,32,3364,0,0.41062418113608956,0.0023449267038166965
identity,0,16,3364,0,0.41062418113608956,0.0017700500949366926
identity,0,32,3425,0,0.36082144681860484,0.0026795038502456237
identity,0,16,3425,0,0.36082144681860484,0.0017920125283268362
identity,0,32,3485,0,0.53565618669773585,0.0036317292145326974
identity,0,16,3485,0,0.53565618669773585,0.0026687645916467773
identity,0,32,3546,0,0.50090396235009393,0.0035729748733501765
identity,0,16,3546,0,0.50090396235009393,0.0026895385954048834
identity,0,32,3607,0,0.55474867641987657,0.0044270627195146517
identity,0,16,3607,0,0.55474867641987657,0.0030684389575981186
identity,0,32,3667,0,0.35348503366827799,0.0024046937715525019
identity,0,16,3667,0,0.35348503366827799,0.0016902759880963458
identity,0,32,3728,0,0.43787283239851149,0.0027967219260744969
identity,0,16,3728,0,0.43787283239851149,0.0021318050324907745
identity,0,32,3789,0,0.45597805427823701,0.003217549697726696
identity,0,16,3789,0,0.45597805427823701,0.0023337041435276262
identity,0,32,3849,0,0.49751151726791321,0.0029939369965639173
identity,0,16,3849,0,0.49751151726791321,0.0023998487200067586
identity,0,32,3910,0,0.60698777553085748,0.0037435434588282135
identity,0,16,3910,0,0.60698777553085748,0.0027825907982936826
identity,0,32,3970,0,0.37035033818710872,0.0024209664074987813
identity,0,16,3970,0,0.37035033818710872,0.0018528680043345958
identity,0,32,4031,0,0.41671485856335266,0.0025083041777520521
identity,0,16,4031,0,0.41671485856335266,0.0018579770634801207
identity,0,32,4092,0,0.41102924154905907,0.002620370992318044
identity,0,16,4092,0,0.41102924154905907,0.0020757692901867131
identity,0,32,4152,0,0.32002545382925973,0.0019410013424590034
identity,0,16,4152,0,0.32002545382925973,0.0014455375108468616
identity,0,32,4213,0,0.27130500336448904,0.0015255002736580536
identity,0,16,4213,0,0.27130500336448904,0.001182599812693752
identity,0,32,4274,0,0.34132835292031416,0.0023169356040995126
identity,0,16,4274,0,0.34132835292031416,0.0017691371808865597
identity,0,32,4334,0,0.58382599318008488,0.0048753646291288533
identity,0,16,4334,0,0.58382599318008488,0.0033954816057075732
identity,0,32,4395,0,0.56107225526957949,0.0041822743982327104
identity,0,16,4395,0,0.56107225526957949,0.002921657767189334
identity,0,32,4455,0,0.59842580088570685,0.0039523229670521687
identity,0,16,4455,0,0.59842580088570685,0.0030495947821691516
identity,0,32,4516,0,0.42583695907769936,0.0027428459095091284
identity,0,16,4516,0,0.42583695907769936,0.0020747654404686955
identity,0,32,4577,0,0.41751425799402853,0.0027369866754298755
identity,0,16,4577,0,0.41751425799402853,0.0020221401998270494
identity,0,32,4637,0,0.3530521743680135,0.0022665870612679218
identity,0,16,4637,0,0.3530521743680135,0.0016557922947237902
identity,0,32,4698,0,0.37004361789524864,0.0023820516254318136
identity,0,16,4698,0,0.37004361789524864,0.0017810622704246271
identity,0,32,4759,0,0.31984859792284226,0.0019484611766671378
identity,0,16,4759,0,0.31984859792284226,0.0013506952964377206
identity,0,32,4819,0,0.21140351589269812,0.001392276547221627
identity,0,16,4819,0,0.21140351589269812,0.0010686766006529069
identity,0,32,4880,0,0.42738147809707805,0.0029599878688088034
identity,0,16,4880,0,0.42738147809707805,0.0022057774002234333
identity,0,32,4940,0,0.6566771460912264,0.0046874604432218803
identity,0,16,4940,0,0.6566771460912264,0.00346786136111632
identity,0,32,5001,0,0.35784261025975539,0.0022456608442702475
identity,0,16,5001,0,0.35784261025975539,0.0016992707408611807
identity,0,32,5062,0,0.33508625222518185,0.0023129727537425371
identity,0,16,5062,0,0.33508625222518185,0.0016023002185365787
identity,0,32,5122,0,0.39179751014603426,0.0026270210757957102
identity,0,16,5122,0,0.39179751014603426,0.0019360421458713972
identity,0,32,5183,0,0.42801223398112143,0.0027640217236921671
identity,0,16,5183,0,0.42801223398112143,0.0020852643070838894
identity,0,32,5244,0,0.35689513692943819,0.0021232381537856782
identity,0,16,5244,0,0.35689513692943819,0.0016891736764819143
identity,0,32,5304,0,0.34094803371245208,0.0022589856400415803
identity,0,16,5304,0,0.34094803371245208,0.0016414496478362045
identity,0,32,5365,0,0.42181590588878137,0.00260886189933629
identity,0,16,5365,0,0.42181590588878137,0.0020344769232742976
identity,0,32,5425,0,0.50609585058721507,0.0034990996044399481
identity,0,16,5425,0,0.50609585058721507,0.0026092580136065635
identity,0,32,5486,0,0.2869979042887536,0.0019758245333179048
identity,0,16,5486,0,0.2869979042887536,0.0014567887490812836
identity,0,32,5547,0,0.43846923969783802,0.0029985087438717528
identity,0,16,5547,0,0.43846923969783802,0.0022638289391352373
identity,0,32,5607,0,0.58041074419411487,0.0038392022102478052
identity,0,16,5607,0,0.58041074419411487,0.0028149244422372988
identity,0,32,5668,0,0.31806466738649419,0.0020949904721021539
identity,0,16,5668,0,0.31806466738649419,0.001487462945220841
identity,0,32,5729,0,0.33739553219818674,0.0022360062681201498
identity,0,16,5729,0,0.33739553219818674,0.001587906455441157
identity,0,32,5789,0,0.42391944030249817,0.0025793970534238042
identity,0,16,5789,0,0.42391944030249817,0.0020352498148810128
identity,0,32,5850,0,0.51405621188797568,0.0035036723832604366
identity,0,16,5850,0,0.51405621188797568,0.0025673961911820697
identity,0,32,5910,0,0.42903813687168224,0.0027021633811870061
identity,0,16,5910,0,0.42903813687168224,0.0020686644472931448
identity,0,32,5971,0,0.30858952480583923,0.0019433203177783298
identity,0,16,5971,0,0.30858952480583923,0.0014566769549588798
identity,0,32,6032,0,0.39180817808274071,0.0025591015834862674
identity,0,16,6032,0,0.39180817808274071,0.0018126870888437452
identity,0,32,6092,0,0.31359134736192118,0.0023152875204459633
identity,0,16,6092,0,0.31359134736192118,0.0016529438202042002
identity,0,32,6153,0,0.32772281296804184,0.00204875422225205
identity,0,16,6153,0,0.32772281296804184,0.0015515984503702424
identity,0,32,6214,0,0.31340840345455945,0.0020916513685733662
identity,0,16,6214,0,0.31340840345455945,0.0014980569076215033
identity,0,32,6274,0,0.32198998645249333,0.0023832123042240028
identity,0,16,6274,0,0.32198998645249333,0.0016243523386521019
identity,0,32,6335,0,0.3179260556367467,0.0020685067152612646
identity,0,16,6335,0,0.3179260556367467,0.0015576637429717266
identity,0,32,6395,0,0.5418047804742514,0.0035477434904009897
identity,0,16,6395,0,0.5418047804742514,0.0026593155490104436
identity,0,32,6456,0,0.31572547640694282,0.0023068437717945756
identity,0,16,6456,0,0.31572547640694282,0.0017312885634517272
identity,0,32,6517,0,0.50262654194239076,0.0033192244432029838
identity,0,16,6517,0,0.50262654194239076,0.002507669438728044
identity,0,32,6577,0,0.30302772354212948,0.0019544891484315485
identity,0,16,6577,0,0.30302772354212948,0.0013590569879511349
identity,0,32,6638,0,0.32032915562656683,0.0019513023099335669
identity,0,16,6638,0,0.32032915562656683,0.0014743738921225713
identity,0,32,6699,0,0.43585434732746364,0.0027898745240833023
identity,0,16,6699,0,0.43585434732746364,0.0020571535417417408
identity,0,32,6759,0,0.26823902585263681,0.0017513411915217603
identity,0,16,6759,0,0.26823902585263681,0.0012726800562461449
identity,0,32,6820,0,0.2862664553092209,0.0019508145548634559
identity,0,16,6820,0,0.2862664553092209,0.0014000772595927913
identity,0,32,6880,0,0.53512748875397165,0.003782654009739872
identity,0,16,6880,0,0.53512748875397165,0.0029537416262996885
identity,0,32,6941,0,0.40924534001169377,0.0025810418628680054
identity,0,16,6941,0,0.40924534001169377,0.0019981978730356786
identity,0,32,7002,0,0.31821573321173369,0.0022102346989110178
identity,0,16,7002,0,0.31821573321173369,0.0016797946551074805
identity,0,32,7062,0,0.41903342138448352,0.0024505670180587913
identity,0,16,7062,0,0.41903342138448352,0.0018430964619255974
identity,0,32,7123,0,0.42869117821258218,0.0025974573816052171
identity,0,16,7123,0,0.42869117821258218,0.0019451248678956645
identity,0,32,7184,0,0.49272856522497932,0.0037567582205610961
identity,0,16,7184,0,0.49272856522497932,0.0026670054342048388
identity,0,32,7244,0,0.38880426162421955,0.0024932334424114799
identity,0,16,7244,0,0.38880426162421955,0.001868910546082958
identity,0,32,7305,0,0.27395979353048805,0.0018845012799681982
identity,0,16,7305,0,0.27395979353048805,0.0013482414232237616
identity,0,32,7365,0,0.50649705784678645,0.0033313262036926972
identity,0,16,7365,0,0.50649705784678645,0.0025513394838299064
identity,0,32,7426,0,0.37358390676571673,0.0024021532871216777
identity,0,16,7426,0,0.37358390676571673,0.0018718597592766173
identity,0,32,7487,0,0.612789323802307,0.0039259866185865633
identity,0,16,7487,0,0.612789323802307,0.0029565722740052536
identity,0,32,7547,0,0.31879701889340595,0.0019767467798601501
identity,0,16,7547,0,0.31879701889340595,0.0014285059602343608
identity,0,32,7608,0,0.27495970435468564,0.0017088557068092314
identity,0,16,7608,0,0.27495970435468564,0.0013485863672286769
identity,0,32,7669,0,0.46763679490687338,0.0030955693873764289
identity,0,16,7669,0,0.46763679490687338,0.0023209285936971469
identity,0,32,7729,0,0.34766669522674931,0.0021140056708333077
identity,0,16,7729,0,0.34766669522674931,0.0015665924986620894
